ID,Label,Definition,Entity Type
ID,LABEL,A IAO:0000115,TYPE
https://w3id.org/nmdo/associated_phenotype,associated phenotype,"Associates a class with HPO phenotypic signs that characterise it. Collapsed from PROMOT disease_has_feature (RO:0004029), is_related_to (PROMOT:2000006), and has_disposition (RO:0000091) subClass restrictions.",owl:AnnotationProperty
https://w3id.org/nmdo/associated_phenotype_label,associated phenotype label,Human-readable label for each URI in associated_phenotype. Values are pipe-separated and positionally parallel to associated_phenotype.,owl:AnnotationProperty
https://w3id.org/nmdo/assesses_phenotype,assesses phenotype,Relates a clinical assessment instrument to the HPO phenotypic sign or symptom it is designed to detect or measure.,owl:AnnotationProperty
https://w3id.org/nmdo/assesses_phenotype_label,assesses phenotype label,Human-readable label for each URI in assesses_phenotype. Values are pipe-separated and positionally parallel to assesses_phenotype.,owl:AnnotationProperty
https://w3id.org/nmdo/assesses_function,assesses function,Relates a clinical assessment instrument to the WHO-ICF body function or structure it is designed to measure.,owl:AnnotationProperty
https://w3id.org/nmdo/assesses_function_label,assesses function label,Human-readable label for each URI in assesses_function. Values are pipe-separated and positionally parallel to assesses_function.,owl:AnnotationProperty
https://w3id.org/nmdo/captures_data_about,captures data about,Relates a clinical assessment instrument to the PROMOT-defined clinical or data-model concept whose data it captures. Intended to guide CRF users to the correct form section or data domain.,owl:AnnotationProperty
https://w3id.org/nmdo/captures_data_about_label,captures data about label,Human-readable label for each URI in captures_data_about. Values are pipe-separated and positionally parallel to captures_data_about.,owl:AnnotationProperty
https://w3id.org/nmdo/associated_function,associated function,Associates a class with WHO-ICF functional capacities (b-codes) it is related to. Derived from PROMOT functionally_related_to (RO:0002328) subClass restrictions.,owl:AnnotationProperty
https://w3id.org/nmdo/associated_function_label,associated function label,Human-readable label for each URI in associated_function. Values are pipe-separated and positionally parallel to associated_function.,owl:AnnotationProperty
https://w3id.org/nmdo/involved_in,involved in,Associates a class with WHO-ICF activities and participation (d-codes) it is involved in. Derived from PROMOT involved_in (RO:0002331) subClass restrictions.,owl:AnnotationProperty
https://w3id.org/nmdo/involved_in_label,involved in label,Human-readable label for each URI in involved_in. Values are pipe-separated and positionally parallel to involved_in.,owl:AnnotationProperty
https://w3id.org/nmdo/located_in,located in,Associates a class with WHO-ICF body structures (s-codes) it is anatomically located in. Derived from PROMOT located_in (RO:0001025) subClass restrictions.,owl:AnnotationProperty
https://w3id.org/nmdo/located_in_label,located in label,Human-readable label for each URI in located_in. Values are pipe-separated and positionally parallel to located_in.,owl:AnnotationProperty
